Point Y,Point X,InstallDate
32.23577828,-110.9957532,7/8/2016
32.235833,-110.9965367,7/8/2016
32.23586092,-110.9973283,7/8/2016
32.23582831,-110.9980747,7/8/2016
32.235799,-110.9988547,7/8/2016
32.235778,-110.9996287,7/8/2016
32.235765,-111.0003987,7/8/2016
32.236161,-111.0047427,7/8/2016
32.24045945,-111.0066758,7/8/2016
32.240947,-111.0069767,7/8/2016
32.23567488,-110.9856617,7/8/2016
32.235744,-110.9865267,7/8/2016
32.23575566,-110.9911956,7/8/2016
32.235748,-110.9880477,7/8/2016
32.235738,-110.9888437,7/8/2016
32.235736,-110.9896357,7/8/2016
32.235758,-110.9911707,7/8/2016
32.235765,-110.9919297,7/8/2016
32.235819,-110.9926487,7/8/2016
32.23733628,-110.9932811,7/8/2016
32.235475,-111.0043237,7/8/2016
32.235448,-111.0042687,7/8/2016
32.235421,-111.0038087,7/8/2016
32.23547989,-110.9904348,7/8/2016
32.23545082,-110.9903961,7/8/2016
32.23574335,-110.9903886,7/8/2016
32.235775,-110.9902007,7/8/2016
32.23575879,-110.9901513,7/8/2016
32.235548,-110.9930887,7/8/2016
32.235517,-110.9923137,7/8/2016
32.235489,-110.9908087,7/8/2016
32.23558897,-110.9939612,7/8/2016
32.235798,-110.9939085,7/8/2016
32.23596282,-110.9834087,7/8/2016
32.23594194,-110.9833593,7/8/2016
32.23590019,-110.9836909,7/8/2016
32.23550039,-110.9846344,7/8/2016
32.23583894,-110.9846601,7/8/2016
32.23586526,-110.9843028,7/8/2016
32.2358698,-110.9843608,7/8/2016
32.23595057,-110.9847008,7/8/2016
32.250286,-110.9951367,7/9/2016
32.25020451,-110.9899927,7/9/2016
32.25019896,-110.989019,7/9/2016
32.25015,-110.9884727,7/9/2016
32.250236,-110.9910617,7/9/2016
32.235643,-110.9856597,7/9/2016
32.235637,-110.9859407,7/9/2016
32.23562,-110.9862127,7/9/2016
32.250476,-110.9886567,7/9/2016
32.25043687,-110.9894836,7/9/2016
32.235745,-111.0045347,7/9/2016
